lisa_variable,lisa_label,lisa_cluster,count,percentage,indicator,indicator_name,dimension,dimension_name,direction,unit,local_weight,weight,raw_mean,normalized_mean,shortboard_strength
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HL 高值-低邻,36,0.11936339522546419,forest_ratio,D3.2 林地覆盖率,D3,D3 生态状态,positive,比例(0-1),0.8359196240251567,0.2089799060062891,0.5337499979521252,0.5337499979521252,0.38974752641358806
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HL 高值-低邻,36,0.11936339522546419,npp,D3.3 净初级生产力,D3,D3 生态状态,positive,kgC/m2,0.1003258082615044,0.0250814520653761,0.4330834597349167,0.48036999337136826,0.052132300411948364
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HL 高值-低邻,36,0.11936339522546419,slope,D4.1 地形坡度,D4,D4 环境约束,negative,度,0.2482879503227113,0.0620719875806778,5.196173714266883,0.5399523499667446,0.114224288077537
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HL 高值-低邻,36,0.11936339522546419,climate_water_stress,D4.2 气候水分亏缺,D4,D4 环境约束,negative,mm,0.2904988745765502,0.0726247186441375,121.34306096368366,0.818144417807681,0.052828841962332
lisa_sdg_index_2024_cluster,2024年综合指数LISA,HL 高值-低邻,36,0.11936339522546419,cold_stress,D4.3 低温冷胁迫,D4,D4 环境约束,negative,℃·月,0.4612131751007384,0.1153032937751846,134.14369683795505,0.42877780267154475,0.26345520331787736
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LH 低值-高邻,119,0.39456233421750664,pop_density,D1.1 人口密度,D1,D1 人类活动,positive,人/km2,0.4433821447143179,0.1108455361785794,1.420187233344597,0.0025050665803835388,0.4422714429212553
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LH 低值-高邻,119,0.39456233421750664,nightlight,D1.2 夜间灯光强度,D1,D1 人类活动,positive,nW/cm2/sr,0.1170714006953689,0.0292678501738422,0.5770448183312136,0.22315860936431356,0.09094590971985804
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LH 低值-高邻,119,0.39456233421750664,cropland_ratio,D1.3 耕地/农田比例,D1,D1 人类活动,positive,比例(0-1),0.4395464545903131,0.1098866136475782,0.008655462273153938,0.008655462273153938,0.4357419768353081
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LH 低值-高邻,119,0.39456233421750664,dist_port,D2.1 距边境口岸距离,D2,D2 通达性,negative,km,0.3208624504718436,0.0802156126179609,337.7811603849814,0.7805719323491667,0.07040622748874785
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LH 低值-高邻,119,0.39456233421750664,dist_city,D2.2 距最近城市/城镇节点距离,D2,D2 通达性,negative,km,0.3930416506974807,0.0982604126743701,129.29050104054906,0.8042668996100435,0.07693126087340421
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LH 低值-高邻,119,0.39456233421750664,dist_major_road,D2.3 距主要道路距离,D2,D2 通达性,negative,km,0.2860958988306757,0.0715239747076689,95.9956394699404,0.8267496364267989,0.04956621848921633
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LH 低值-高邻,119,0.39456233421750664,ndvi,D3.1 NDVI,D3,D3 生态状态,positive,无量纲,0.0637545677133387,0.0159386419283346,0.67499876711048,0.667692538045868,0.021186118584802432
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LH 低值-高邻,119,0.39456233421750664,forest_ratio,D3.2 林地覆盖率,D3,D3 生态状态,positive,比例(0-1),0.8359196240251567,0.2089799060062891,0.1572268908616437,0.1572268908616437,0.7044905805294472
